Tipo,Conteudo,Data
Aula,IHC e UX: o que são e para que servem?,02/03
Aula,Interfaces e interação,04/03
Aula,Princípios do design da interação,09/03
Aula,Aspectos cognitivos,11/03
Aula,Aspectos sociais,16/03
Aula,Aspectos emocionais,18/03
Aula,Lançamento do projeto,23/03
Aula,Entendimento do problema,25/03
Aula,Ideação de soluções,30/03
Aula,Criação de protótipos,01/04
Aula,Testes de usabilidade,06/04
Participação,Roda: acessibilidade nas tecnologias,08/04
Entrega,Projeto: definição do ator colaborador e da rede de atores,15/04
Apresentação,Apresentação: quem é a rede de atores?,15/04
Sem Aula,Ponto facultativo - Tiradentes,20/04
Participação,Roda: racismo e colonialismo digital,22/04
Entrega,Projeto: definição do problema,06/05
Apresentação,Apresentação do problema,06/05
Participação,Roda: Padrões Manipulativos,11/05
Entrega,Projeto: Ideação,20/05
Apresentação,Apresentação da proposta,20/05
Participação,Roda: IA e Sustentabilidade,25/05
Apresentação,Apresentação do protótipo,10/06
Entrega,Projeto: Protótipo,10/06
Apresentação,Apresentação do teste de usabilidade,22/06
Entrega,Projeto: Teste de Usabilidade,22/06
Apresentação,Feira de Impacto Social,29/06
Prova,Prova final,01/07