Data,Dia,Conteúdo A,Conteúdo B,Disciplinas,Lugar
24/03/2026,terça-feira,Lançamento da Lista 02 de IP,,SD e MD,E232 e E233
25/03/2026,quarta-feira,,,IP e CAD,Grad05 e E131
26/03/2026,quinta-feira,MP 4: Funções Especiais (Piso;Teto;Fracionária;Modular),,MD e SD,E233 e E232
27/03/2026,sexta-feira,,,IP ,Grad05
28/03/2026,sábado,,,,
29/03/2026,domingo,,,,
30/03/2026,segunda-feira,Entrega Projeto 2 SD,,CAD e IP,E131 e Grad05
31/03/2026,terça-feira,,,SD e MD,E232 e E233
ABRIL,,,,,
01/04/2026,quarta-feira,Prova IP Comandos Condicionais + Laços de repetição,,IP e CAD,Grad05 e E131
02/04/2026,quinta-feira,MP 5: Endorrelações,,MD e SD,E233 e E232
03/04/2026,sexta-feira,FERIADO: Sexta-Feira Santa,,,
04/04/2026,sábado,,,,
05/04/2026,domingo,,,,
06/04/2026,segunda-feira,Entrega Projeto 3 SD,,CAD e IP,E131 e Grad05
07/04/2026,terça-feira,Lançamento da Lista 03 de IP,,SD e MD,E232 e E233
08/04/2026,quarta-feira,Roda: Acessibilidade nas Tecnologias de CAD,,IP e CAD,Grad05 e E131
09/04/2026,quinta-feira,MP 6: Elementos de Aritmética Modular,,MD e SD,E233 e E232
10/04/2026,sexta-feira,,,IP ,Grad05
11/04/2026,sábado,,,,
12/04/2026,domingo,,,,
13/04/2026,segunda-feira,Entrega Projeto 4 SD,,CAD e IP,E131 e Grad05
14/04/2026,terça-feira,,,SD e MD,E232 e E233
15/04/2026,quarta-feira,Projeto: definição do ator colaborador e da rede de atores de CAD,,IP e CAD,Grad05 e E131
16/04/2026,quinta-feira,MP 7: Princípio Aditivo e Princípio Multiplicativo da Contagem ,,MD e SD,E233 e E232
17/04/2026,sexta-feira,,,IP ,Grad05
18/04/2026,sábado,,,,
19/04/2026,domingo,,,,
20/04/2026,segunda-feira,Entrega Projeto 5 SD,,CAD e IP,E131 e Grad05
21/04/2026,terça-feira,FERIADO: Tiradentes ,Lançamento da Lista 04 de IP,,
22/04/2026,quarta-feira,Roda: racismo e colonialismo digital de CAD,,IP e CAD,Grad05 e E131
23/04/2026,quinta-feira,EE1 Prova 01 de MD,,MD e SD,E233 e E232
24/04/2026,sexta-feira,,,IP ,Grad05
25/04/2026,sábado,,,,
26/04/2026,domingo,,,,
27/04/2026,segunda-feira,,,CAD e IP,E131 e Grad05
28/04/2026,terça-feira,,,SD e MD,E232 e E233
29/04/2026,quarta-feira,Prova IP 02 Listas + Funções e Escopo de Variáveis,,IP e CAD,Grad05 e E131
30/04/2026,quinta-feira,"MP 8: Princípio da Inclusão-Exclusão, Permutações...",,MD e SD,E233 e E232
MAIO,,,,,
01/05/2026,sexta-feira,FERIADO: Dia do Trabalho,,,
02/05/2026,sábado,,,,
03/05/2026,domingo,,,,
04/05/2026,segunda-feira,,,CAD e IP,E131 e Grad05
05/05/2026,terça-feira,,,SD e MD,E232 e E233
06/05/2026,quarta-feira,Projeto: definição do problema de CAD,,IP e CAD,Grad05 e E131
07/05/2026,quinta-feira,"MP 9: Somatórios, PA e PG, Somatório de polinômios",,MD e SD,E233 e E232
08/05/2026,sexta-feira,,,IP ,Grad05
09/05/2026,sábado,,,,
10/05/2026,domingo,,,,
11/05/2026,segunda-feira,Roda: Padrões Manipulativos de CAD,,CAD e IP,E131 e Grad05
12/05/2026,terça-feira,,,SD e MD,E232 e E233
13/05/2026,quarta-feira,,,IP e CAD,Grad05 e E131
14/05/2026,quinta-feira,MP 10: Técnicas de Newton para Sequências Polinomiais...,,MD e SD,E233 e E232
15/05/2026,sexta-feira,,,IP ,Grad05
16/05/2026,sábado,,,,
17/05/2026,domingo,,,,
18/05/2026,segunda-feira,,,CAD e IP,E131 e Grad05
19/05/2026,terça-feira,Prova de SD,,SD e MD,E232 e E233
20/05/2026,quarta-feira,Projeto: Ideação de CAD,,IP e CAD,Grad05 e E131
21/05/2026,quinta-feira,MP 11: Lógica Proposicional e Tabelas-Verdade,,MD e SD,E233 e E232
22/05/2026,sexta-feira,,,IP ,Grad05
23/05/2026,sábado,,,,
24/05/2026,domingo,,,,
25/05/2026,segunda-feira,Roda: IA e Sustentabilidade de CAD,,CAD e IP,E131 e Grad05
26/05/2026,terça-feira,,,SD e MD,E232 e E233
27/05/2026,quarta-feira,,,IP e CAD,Grad05 e E131
28/05/2026,quinta-feira,MP 12: Técnicas Básicas de Demonstração,,MD e SD,E233 e E232
29/05/2026,sexta-feira,Prova IP 03 Recursão + Tuplas e Dicionários,,IP ,Grad05
30/05/2026,sábado,,,,
31/05/2026,domingo,,,,
JUNHO,,,,,
01/06/2026,segunda-feira,Lançamento do Projeto + Pygame IP,,CAD e IP,E131 e Grad05
02/06/2026,terça-feira,Desenvolvimento de Projeto MD,Segunda Chamada SD,SD e MD,E232 e E233
03/06/2026,quarta-feira,,,IP e CAD,Grad05 e E131
04/06/2026,quinta-feira,Ponto Facultativo: Corpus Christis,,,
05/06/2026,sexta-feira,Ponto Facultativo: Corpus Christis,,,
06/06/2026,sábado,,,,
07/06/2026,domingo,,,,
08/06/2026,segunda-feira,,,CAD e IP,E131 e Grad05
09/06/2026,terça-feira,,,SD e MD,E232 e E233
10/06/2026,quarta-feira,Projeto: Protótipo de CAD,,IP e CAD,Grad05 e E131
11/06/2026,quinta-feira,MP 13: Grafos,,,
12/06/2026,sexta-feira,,,,
13/06/2026,sábado,,,,
14/06/2026,domingo,,,,
15/06/2026,segunda-feira,,,CAD e IP,E131 e Grad05
16/06/2026,terça-feira,,,SD e MD,E232 e E233
17/06/2026,quarta-feira,,,IP e CAD,Grad05 e E131
18/06/2026,quinta-feira,MP 14: Árvores,,,
19/06/2026,sexta-feira,,,,
20/06/2026,sábado,,,,
21/06/2026,domingo,,,,
22/06/2026,segunda-feira,Projeto: Teste de Usabilidade de CAD,,CAD e IP,E131 e Grad05
23/06/2026,terça-feira,FERIADO: São João,,,
24/06/2026,quarta-feira,,,IP e CAD,Grad05 e E131
25/06/2026,quinta-feira,EE2 Prova 02 de MD e Apresentação do Projeto SD,,,
26/06/2026,sexta-feira,,,,
27/06/2026,sábado,,,,
28/06/2026,domingo,,,,
29/06/2026,segunda-feira,Feira de Impacto Social CAD,,CAD e IP,E131 e Grad05
30/06/2026,terça-feira,Apresentação dos Projetos MD,Prova Final SD,SD e MD,E232 e E233
JULHO,,,,,
01/07/2026,quarta-feira,Prova Final CAD,,IP e CAD,Grad05 e E131
02/07/2026,quinta-feira,Final de MD,,MD e SD,E233 e E232
03/07/2026,sexta-feira,Apresentação dos Projetos IP,,IP ,Grad05
04/07/2026,sábado,,,,
05/07/2026,domingo,,,,
06/07/2026,segunda-feira,,,CAD e IP,E131 e Grad05
07/07/2026,terça-feira,Prova Final / 2a Chamada IP,,SD e MD,E232 e E233